Catherdral shop very reasonable for gifts. ,1
The cathedral charges an entrance fee which is relatively expensive for an English cathedral. ,0
Ticket price was a bit expensive at £7.50 per adult but children were free.,0
"Visit to the cathedral cost £7.50 entrance fee though, which seemed quite steep. ",0
Nice church but too expensive for the entrance.,0
"Very nice cathedral, a little expensive entrance for the official tour.",0
"The Cathedral does charge to enter, however it wasn't expensive at £7.50 each, although cheaper for children and senior persons.",1
The most beautiful building I've ever seen. Very expensive though to enter,0
The entry cost is £6 per senior or £7-50 per adult. Very expensive. Should be free ,0
For me £7.50 seemed a steep entrance fee just to 'be' there.,0
"After our visit we had lunch in the refectory, which was a lovely space too. The meal was tasty and good value",1
The restaurant is extremely good value for money particularly the Sunday lunch ,1
Good value entrance fee for visiting the English church.,1
The cafe located just behind the cathedral offers excellent choice and is very good value.,1
beautiful cathedral but too expensive for the entry cost.,0
entry is very reasonably priced at the cathedral.,1
There is a Cathedral shop selling interesting and reasonably priced souvenirs.,1
Reasonable entrance fee at the cathedral.,1
Before we left we went to the cathedral restaurant for a full English breakfast that was excellent and reasonably priced.,1
I really liked Exeter Cathedral - it had a nicely stocked and addordable gift shop.,1
"Nice church, with a gift shop that is reasonably priced. ",1
"Very nice cathedral. The shop is very good, it has many souvenirs some at bargain prices. ",1
It is a large cathedral with wonderful architecture but the admission price is high compared to other cathedrals.,0
The cathedral is a beautiful building well worth the small admission price! ,1
"We had a quick coffee in the Cathedral coffee shop, the coffee was good, the scone was good (made on the premises) but the sausage roll was inedible and was incorrectly charged.",0
"At the cathedral, we felt that the shop was lovely and fairly priced.  ",1
"Visitor facilities include a well-stocked and well priced onsite café, serving a range of light lunches, afternoon teas and light snacks in the wonderful refectory.",1
"Exeter Cathedral is large and impressive. However, there is a £6 entrance fee which I believe is too expensive.",0
The building is beautiful and there is a lovely cafe serving delicious food. Well worth the price.,1
there is a lovely and affordable tea room at the cathedral where you can indulge in a Devon cream tea.,1
We used the café at the cathedral after our visit which sold some very nice tiffin and felt affordable!,1
"The Refectory, accessed from outside the Cathedral was just adequate and improperly charged.",0
The Cathedral Shop was a little disappointing with its Christian content very limited and overly priced. ,0
We didn't think the entry fee was too bad. ,1
The cafe also served very good food at a reasonable cost! ,1
The Gift Shop is also perfect for buying gifts at good prices for people at home.,1
You can tour this cathedral for a minimal entrance fee and even take as many pictures as you like.,1
"The staff in the cathedral are very kind and helpful and there is an excellent shop, if you need any ecclesiastical gifts or bookmarks at cost-effective prices. ",1
"Stunning interior, although i was not happy at the fees for entry. ",0
"Don't forget the café, you'll find delicious cakes at good prices.",1
"Beautiful building, but entrance fees of £6 for adults and £5 for students just aren't right for Cathedrals. Beautiful architecture, but I shouldn't be charged to go in outside of services to be with God!",0
"Beautiful architecture, but I shouldn't be charged to go in outside of a place of worship to be with God!",0
"I tried to ask for a small discount on an overpriced book at the shop, but was declined. ",0
"Undoubtedly an impressive cathderal, however, I do object to having a compulsory entrance fee in places of worship.",0
"Exeter Cathedral is one of the better cathedrals we have visited. Even at full entry price, we thought was good value.",1
"We stopped at the Coffee shop after our visit, it was also very good at a decent price.",1
Exeter Cathedral is amazing. A small entrance charge.,1
Exeter Cathedral is absolutely gorgeous. It is definitely worth the cost of entrance fee.,1
£7 entrance ...student discount available which was quite good.,1
When you've visited the cathedral go to the cloisters for lunch. Fantastic and wide selection of lunches. Prices worth every penny.,1
"The Cathedral Cafe serves excellent coffee, snacks and light lunches. Well worth the price.",1
Historic building but for me the highlight was the Exeter Cathedral Cafe!! The food we had was cooked fresh at a brilliant price. ,1
"If you're lunching on a budget, the café won't disappoint.",1
The tour guide was very friendly and dispensed but not overwhelming,1
our guide did a sterling job! She was clear and concise with just the right amount of humour.  ,1
"It's such a shame that some of the staff have such a sour and officious attitude, especially in Christian place of worship!",0
"We entered and stood just before the ticket booth, and my mother in law had her camera in her hand. Within seconds a man sat at a table barked at me to tell her she couldn't take photos without asking the lady at the ticket desk. We felt embarrassed and left. ",0
" When we visited last Christmas a gaggle of men, who appeared to be stewards of some sort, tutted loudly and glared at my daughter when she got near (half a meter away!) to the Christmas tree. Miserable! ",0
The guide had lots of informative tips to give and lots of interesting stories.,1
The choristers were fantastic.We were always warmly welcomed.,1
"if you are lucky enough to come in when a guided tour is taking place, it is well worth spending an hour listening to the informative guide.",1
"Wonderful reverend well paced service accommodating to excited children of all ages dressed up as angels, shepherds and so on to take part in the story of the nativity. ",1
a simply stunning cathedral with very knowledgeable guides,1
I've always found the staff and volunteers friendly and witty and always interested to share their stories.,1
The guides really know the history of the place and were pleased to answer all questions on the guided tours.,1
Lots of helpful and professional volunteers around to chat with. ,1
The staff are welcoming and cordial and a credit to the Cathedral.,1
TOP MARKS TO THE CATHEDRAL STAFF. VERY FRIENDLY,1
The Cathedral staff are faultlessly welcoming. ,1
great volunteers for answering any questions that you have. ,1
The Cathedral staff were knowledgeable yet unobtrusive.,1
The volunteer leading the tour (Lindsay) was so knowledgeable and informative. ,1
Do take the guided tour. (Our guide Noel was superbly knowledgeable). ,1
The tour guide was really informative and we learnt so much about our home town Cathedral and its tower. ,1
Our guide was very knowledgeable and took about an hour to tour us through the cathedral.,1
 The tour guide was a wealth of knowledge about not only this cathedral but all the others in the country as well. ,1
Our guide was very knowledgeable and spoke well.,1
Very informative tour of this magnificent and interesting cathedral was given by a knowledgeable guide. Do not miss. ,1
The volunteer guides are friendly and welcoming and the free leaflet is excellent.,1
The staff are brilliant and really helpful and knowledgeable.,1
Our guide was very knowledgeable and the hour flew by. She made all the facts very entertaining and interacted with the group very well.,1
We met a lay minister who was an absolute fount of knowledge and she told us a lot about the history of the Cathedral.,1
The very unprofesional lady receptionist will ruin visitors experience to this beautiful church.  ,0
We felt embarrassed by the attitude of the rude receptionist as they were other people queuing up behind us. Shame on the service !!!!,0
The Cathedral helpers were very informative.,1
Very knowledgeable female guide. ,1
The cathedral is just beautiful and we met a tour guide/volunteer who was so knowledgable and loved sharing his knowledge with us.,1
"As a local we often visit this beautiful building and have a card to allow us free access, however one runs the gauntlet of sometimes unwelcoming staff (presumably volunteers) and we have experienced downright rudeness from them in the past.",0
Our guide was a little on the pedantic side but he was a nice man and extremely well informed. ,1
"The docent seemed rude, however, and was not welcoming as I would have expected. ",0
The lady at the reception was not particularly helpful. ,0
Friendly priest.,1
You will also find that the volunteer guides are very helpful and are more than happy to answer any questions. ,1
Lady who took my admission fee was not informative.,0
If you are interested there are also guided tours which are run by volunteers- very knowledgeable and full of interesting stories about the cathedral. ,1
"Yet once again, our visit was spolit by the brusque and off-hand staff in the main body of the building and in the shop.",0
"The guides were well informed and professional, and on the whole we enjoyed the visit.",1
There are plenty on site guides who were very helpful to give us a detailed story of the clock inside to the left.  ,1
the staff in the shop too were very friendly and went out of their way to help me find the book I wanted. ,1
Staff not welcoming on entrance. ,0
staff not terribly friendly. ,0
incompetent staff at the cathedral,0
the staff was not that courteous,0
